ID	T_WT_1	T_WT_2	T_WT_3	T_WT_4	T_WT_5	T_WT_6	T_WT_7	T_WT_8	T_WT_9	T_WT_10	T_BRCA1_1	T_BRCA1_2	T_BRCA1_3	T_BRCA1_4	T_BRCA1_5	T_BRCA2_1	T_BRCA2_2	T_BRCA2_3	T_BRCA2_4	T_BRCA2_5
FAM171A1	15.1649	25.718	14.5653	8.14285	13.9819	8.38117	13.3254	11.3834	14.8704	10.722	8.51019	9.72777	17.5021	11.4009	4.73693	11.1012	10.5606	4.16119	22.5036	17.2796
DKK3	27.8980432	7.745249	2.54898	54.945905	8.320895	17.508922	18.174308000000003	3.91148798	6.9174023	3.43935	14.549316	12.0745468	12.3323319	13.179967	6.334784	11.6392	17.676267	9.535242	17.305671	6.3547756
NAV3	11.55306	0.677646	0.750085	8.09901	0.907528	14.88999	18.95703	1.758255	0.5140319518	0.2414205799	3.346145	1.024107	1.876541	1.610916	0.6991020037029	3.622257	1.93474174221	17.01107	2.059349	1.239642
AFF3	7.30791	3.2299100000000003	1.635998	1.7010199999999998	0.1438319	23.524990000000003	16.09964	0.914648	0.662128	0.2947099	1.480403	0.637939	0.426165	5.071949999999999	0.1945623	0.92925	1.5719409999999998	5.84399	1.88354	0.751133
CHN1	12.226944	18.901204468	13.196192000000002	45.856010000000005	11.880416	9.8708237	7.171345999999999	31.0129768	4.119375	5.690814	9.43796	7.396013	6.784408399999999	18.883451	20.445589	6.31738	6.576890999999999	5.30846	10.5965	5.092547
MSRB3	13.329825	1.6911374	0.5819365000000001	24.7015	1.1171692999999998	8.281501	18.77965	9.168218	1.9150864	0.289995	2.276244	1.2824460000000002	3.4641070000000003	3.147328	1.926916	2.914073	3.0771340000000005	4.199701	4.7240128	0.9521087
SIRPA	22.753467	10.7874655	1.72885	40.03185200000001	14.96973	18.594945	18.165004	7.230976	26.1154	34.1836	8.413453	10.68874	21.215737	9.782452	8.689406420800001	45.635576736	25.491932	17.398722	7.353243	10.3690516
TBXA2R	2.582601	1.0944613	0.194985	2.356499	0.649317	2.033702	2.69814	1.266033	0.5347740000000001	2.780853	0.420936	0.2638899999999999	0.2099215	0.6829721	0.617963	1.084778	1.049627	0.510814	0.486579	0.414439
WIPF1	10.54657	5.9422	3.21655	24.94439	4.85938	8.07607	11.99676	6.5372	5.49109	4.12022	4.74497	3.966419	6.52403	4.70105	4.31629	9.73439	8.18602	4.42316	6.98855	2.202883
BICC1	38.8313	2.91828	5.50857	34.7488	0.470887	22.0275	44.2346	6.90799	2.56233	1.19678	4.49661	1.91514	3.30921	3.40425	3.73139	4.32909	2.72065	17.5408	13.2162	0.395838
PLAGL1	14.796649360678998	4.336410149019	0.38497842381033	21.136998066931195	14.960898599999998	17.730940250683293	11.818997177808042	3.57796119406191	0.9804170144537	0.41660100683679	10.1185946515381	0.9691740466563	3.053685400841481	3.2627764684352103	0.936801465924128	4.5732050312000005	15.781703688132996	11.217621573411511	6.124218602766851	1.19755801147613
TCF4	61.36226649999999	33.4283743847744	23.158186688	85.31322122833458	20.103486600164988	69.52135360542808	95.51771716199998	29.316763955688707	17.551654400292755	11.11185437899	27.619867719999988	16.730152469000004	15.666229185402194	27.248858156	16.3996450352	20.8575813	51.041452475	68.40275230676032	33.767337309999995	20.908492420000005
MRAS	5.94268895686528	2.1548679975	3.3974489	6.016031099999999	1.825835	11.675491	13.795785	1.7345455448	2.4709346044	9.409459000327685	2.18048280519479	1.766190487209	2.2792508903857858	3.2347796	2.488782511	3.41665304906336	3.545897	12.655507000000002	4.052932	1.07706000351006
LAMA4	175.518400106586	20.71556900086805	7.0829011	207.402767008	9.2732042022	114.814100350526	199.84450180064	68.2797617057	30.855400412	35.364532999999994	25.706981515	14.94772600147256	15.412979444045	69.04092588681999	51.52819022009099	41.0978	39.14088	50.4622730166	48.0942861222	10.43400351069
CYBRD1	60.17186	31.49935	0.615557	46.548012	24.614454	60.72004999999999	102.818522	32.9934217	56.220411	16.035562	11.6349402	7.119936099999999	7.545393	30.6415461	32.860391	7.957681000645558	13.972241	66.367429	12.032847	13.701591
GSDME	28.016798	9.65052	8.699401	16.1363086	3.313917	25.64826	32.082453	11.766707	5.6956636000000005	2.83191	7.917044000000001	7.395379999999999	6.398451	9.5115117	5.965368	9.78172	10.08029	31.913203900000003	7.0883528	10.028302
MMP2	255.45384197	152.046632	27.13431907188	849.939547	4.84216700668668	438.365958	330.150427	311.711682	36.355890446	18.45916129005	40.2377457	57.966080000000005	21.2333029	48.0025007	108.81513	79.39515999999999	74.629187	203.928113818	151.1178227	39.4582254
ZEB1	31.538599941246183	9.41480048430931	4.1560672896663	64.60924197147911	2.5739175476912117	29.57158161150571	49.1613767050649	15.5594296619432	6.511727915867404	3.9028915997092	12.313957575587516	10.99899740401766	6.158456803082501	11.813345712145422	7.077631818	16.037308288486926	9.958910465529474	34.89487843129736	19.8434575845558	5.873375846459
P3H2	63.638	57.9126	4.211335	15.36782	6.966653	51.0278	45.787000000000006	5.21047	9.47017	0.819258	18.81957	8.48628	15.2482	15.60999	9.79295	8.89011	46.61057	39.377300000000005	14.56173	7.83128
TGFB2	1.54143470494727	1.2805798123792	0.620358767913	1.0623560297220995	1.1269967474124	1.3737089999999998	1.0716875411924	0.785568	0.5805904	0.675695	1.2139190000000002	1.226583	1.223195807481	0.8403697340667	3.1444190290148	1.187112	2.13063606095	1.2464650000000002	1.93337741465	0.592939
POSTN	33.49763160036	56.185096937	0.6232732008136219	588.77004	2.065463	9.776271936	15.051313	219.87368	2.8652522000000005	3.9511100945987	0.4394354	0.5308616	1.620214007503	2.3293477169100005	69.314073	40.375432	0.119642	5.589628	42.958645	0.101683939
BMERB1	14.00966	1.3794300000000002	18.84538	7.488894999999999	0.5792408	13.91871	16.90128	1.898414	0.863577	10.942786000000002	1.8852384	1.013783	1.252581	8.609462	1.2551329999999998	2.415722	6.365881	9.23763	4.1782	1.552334
BDNF	2.93945605	0.2925332	1.67688	1.2854962	1.1412097	1.7581433000000002	5.560422702277921	3.0087537	1.3098561000000002	0.2347539	1.1427377	0.4278571008	0.7282937	6.8327356	2.7692836	1.3484275	1.0092617700000002	1.984108	1.1853955	3.6165415
RBM24	0.4560778	5.558523600000001	0.0	0.3974227	0.0637609	0.356622	1.2562208999999998	0.2191731999999999	0.0283785	0.465302	0.208892	0.4286068999999999	0.0346967	0.5777937	0.0541814	0.0222141	0.7952501	0.273744	0.6602587	1.2077840999999998
TTC28	23.5391	6.44406	21.1868	16.6725	5.4505	24.3297	39.8024	14.9408	4.05791	2.94824	12.5286	16.5445	9.9475	8.00498	3.15651	13.3438	7.5844	15.9922	6.71254	7.29004
ANXA6	245.471	28.7491	13.74642	216.324518	28.17229	250.8358	323.2817	53.6138	61.6343	46.168987	63.976416	33.5946	38.9825	62.40566	21.28869	53.237600028240905	55.13678900000001	119.3016	61.831500000000005	34.0388
AOX1	90.6913	0.229951	0.269394	19.8792	0.770502	54.1484	141.513	0.514896	2.69246	0.78274	3.7172	8.12441	4.49674	2.59085	1.17864	3.43961	8.08011	49.4896	7.41208	2.13496
FHL1	34.6824281	14.858875399	1.64862	25.0210803	6.6273201	83.467217828	139.217404	24.533745219	7.712603703788471	12.95968454	9.4881717	4.888132	3.99492100994134	21.0020824072	23.881455	5.2633708471389	12.891628437999998	38.567814532	101.8549436	3.43172032
NRG1	0.8037280009700031	0.9728131478929	8.8737239	2.0821630000000004	0.16143929744766	3.5389203000000005	0.78920149772	1.6403110217661998	0.090503800690869	1.5807277	2.0107527000000003	0.4093118	0.0991963	1.1968658	1.6197816	0.8019128	4.1415618	3.9403517236	2.632313	0.35798500113803
CPA4	0.83349	1.3132102	0.2973727	9.336548	0.7753498	0.137085	0.0879014	2.760583	10.046393	4.123337	0.4892176	0.567832	1.5028370000000002	1.3271858	8.155083	2.57133	2.3169184	0.705945	0.415941	0.118052
DLC1	19.439063000057427	1.5185722	3.7750751	25.430781013731057	5.134682100000001	28.087707037055097	64.3200653199869	6.731241000364808	3.203747	2.7430580000000004	6.1770237	1.8270717	0.9710295	3.3721377300000004	2.0732387	6.5532962	5.3564295179	22.19202	6.667524500000001	2.9493532
SRPX	15.696949	3.7622907	0.509251	13.829838	0.118642	10.3730495	8.792226600000001	5.097693	1.7659	0.845664	6.22758	2.0290494	3.4257959	3.3607	1.2688	5.10913	3.41177	5.42012	4.28284	0.882051
ZEB2	67.27876	17.17763	4.89447	84.40258	10.0222123	120.260606	132.58748	26.744654	14.493699	10.7487957	20.379219	11.7372194	21.361442	20.295106	13.272964	46.511212	23.810128	109.54691	19.210284	7.01811
NEXN	48.71432	12.70467	4.20171	107.3934	3.3177130000000004	40.9804	66.5132	14.18912	6.7148900000000005	3.413734	6.73141	5.979495	16.33316	13.611719999999998	10.79079	9.02632	6.87546	11.21047	12.21651	2.734576
FGFR1	132.229771	93.648475	113.00799899999998	85.1272681	388.869814	127.708381	182.346364	100.559806	83.394094	70.68638330093492	40.950796	19.1612056	28.7730735	36.5107053	16.926853	54.109225	106.3870534	156.595042	133.33811400000002	28.0052694
ATP8B3	1.06633	0.4939654	0.728936	2.326899	0.662039395633	1.4970132	0.5443009	0.5154129	3.3836049	0.30371	0.545072	0.1969462	0.1987718	0.3578289999999999	0.3806891	0.477858	0.4003049999999999	0.2977309999999999	0.353564	0.104795
LOX	6.343395	6.969912	2.4317518	41.51194	1.675267	5.998556	7.15581	11.903131	4.174616	2.636293	3.68039	1.169746	0.8661913	2.690138	7.268845	25.889819600000003	5.995278	2.1236889000000003	4.308786	0.3560007
EPB41L5	8.889037100000001	24.077554	73.0554833	7.255053	8.686057	11.97969593	10.557895	11.5752116	14.377778	13.100454	6.694177	47.30116	8.066849999999999	4.7552	7.900785	13.807988395	9.8814709	12.9804596	60.8073489	4.452635708874071
CLDN11	64.64802	0.4066353	0.518712	21.51724	0.5552703999999999	90.06142	146.87013000000002	1.170279	1.978282	0.368109	8.80582	1.926053	1.493079	5.001169	1.788098	4.31251	8.17949	21.28948	9.63812	0.688732
GREM1	0.23878512	0.2909874006	0.0217245605999999	0.833842347	0.042748677	0.060535251	0.047065849	1.1379508	0.0128451469	0.0824907	0.043339694	0.0199356515	0.0154736802	0.0284495255	1.0082097	0.2309140559999999	0.078973986	0.063433572	2.7617733	0.0179163095
DPYSL3	128.4032	19.77443	18.10223	134.9778	26.74699	100.7626	131.7955	37.07378	38.79493	42.5078	32.5033	39.53415	10.07392	35.31757	42.9243	57.1075	18.60827	73.7041	38.6728	14.194873
BVES	0.70061347	0.0582826010583956	3.4698100051814	0.8891730164382	0.46542	0.654256006061066	0.55883508983	0.41228100143915	1.14408600228199	0.3783800019188233	0.293721007507356	0.188614004981182	0.136277	0.167571000466118	0.134122006142061	0.78375205101417	0.876166	0.439601003465075	1.645548000391355	0.097590200423953
CLIP3	35.5301	17.5743	2.340919	18.1903	3.23681	41.2904	57.022895	7.78401	2.79361	12.5646	9.10764	3.07244	12.9437	6.32866	6.02057	7.92311	8.18239	20.7207	9.849336	3.50445
TNFRSF19	4.9412587	5.2472555000000005	1.599962	23.3314283	7.918988	2.749007	3.6659306	25.976260000000003	5.715593	0.4764697	5.7161251	3.2022029	5.9496016	6.3047108000000005	3.71279	4.469269	6.536376000000001	1.1178306999999998	2.5154477	12.7955156
JAM3	32.757850000000005	13.863458	2.193447	31.49341	0.990846	52.77019	65.00557	7.713184	15.12183	14.859481	9.856059	5.116339999999999	3.973301	10.298319	3.0896992	7.36615	8.722458	73.57616	12.9233	3.23035
EPDR1	4.6635137	0.297262	5.327978	5.3403904	0.296136	7.16499	7.528032	4.900476	1.1442579	0.659618	2.370406	2.8016419	1.617063	1.9305993	0.54696	2.111002	2.106903	3.3402891	3.8286031	6.530853
DAB2	96.10977	18.7588	3.206325	78.40999000000001	9.463528	65.83024	83.77448	22.040671	16.469781	7.7993347	15.933098	8.831361	11.766449	14.710594	12.582471	26.982111	19.133095	18.102873	14.163561	6.4846
CDH4	0.311404	0.459487	0.5043928	0.216321	0.2731262	6.4001334	1.84723774653	0.0610334	0.241285	0.0869783	0.343632	0.0323801	0.0178346	0.395521	0.125464	0.302443	0.917079	2.9427843	0.372631	0.0341916
IGFBP7	743.4812000000001	63.596	92.25521	483.0144	22.207510000000003	448.4191	688.5654000000001	106.34017	58.49326	24.110950000000003	165.4825	93.76912	138.96004000000002	204.05482	79.28756	135.16553	90.2909	170.18943000000002	236.31734	78.84204
TUBA1A	452.24296	178.595850116038	108.121242	749.27326	109.643503	448.676142	894.394381	276.27957999999995	81.068496	55.879419	108.293299	110.066325	60.018255	125.947953	101.056215	151.19595117062002	108.259476	462.204578	173.64364	92.74109
GPR176	1.2900040000000002	1.672885	0.268253	2.959717	0.6578142	0.569771	1.168933	1.485687	0.19226	2.8942050000000004	0.462532	0.127308	0.131813	0.4407213	0.975105	1.257376	0.685154	0.5814755	0.8254908	0.2210723
AP1S2	29.902447	19.00570142	15.091272000000002	27.8726872	11.654269	23.8665307	22.4613143	24.789367	20.0649263	11.753367	14.460431	13.582448	9.0229965	18.914118	9.8225899	32.672868	24.853921	16.0067562	24.828937000000003	17.375981
AXL	28.1979	19.137526	3.413214	38.444922	9.879678	35.178706	39.409314	10.52422	9.68849	3.4373450000000005	8.065649	5.034656	6.103289999999999	7.15842	7.657803	15.15064	10.101268	64.017387	8.99007	6.18416
EDIL3	4.8402	2.372027	0.400861	26.3493	0.290093	6.8638	11.14668	4.62813	0.618267	0.26118967301	1.940285	0.843875	0.42949	5.22178	1.987478	3.75898	1.739308	3.65461	6.0449	0.665364
KIRREL1	21.687274	29.704818	13.130044	27.328908	6.311489	13.455205	21.580288	13.285241	5.801899	9.834895	15.463866	26.623441	24.163536	6.830874000000001	6.8720435	19.600882	21.243898	7.531315	18.863748	6.4204877
GLIPR2	9.432172	5.1612042	1.64753	15.285218	25.489132	6.840037000000001	11.056829	3.2503026000000004	12.106402	2.8580965000000003	8.47039	3.0720615	10.798388	4.8366048	5.808476599999999	4.4420054	12.447786699999998	2.790533	2.8946422000000007	2.4069723
DOCK10	13.24365	8.991262798	1.357587000048151	30.99396	7.232358	42.91721	19.78563	8.495569	10.81323	4.198694590000001	12.127837	8.812679	14.25918	14.32379	7.370927	13.88854346	14.24057	37.86728	8.360617000000001	5.895745000000001
FAT4	14.833174	0.6076626	1.650366	15.587321	1.08195	10.976751	14.914362	2.1068292	0.534889	0.350551	2.59837321	1.8194201	5.62868	5.54252	1.243632	2.28214	2.42214	8.8800828	3.19104	1.0135263
FGF5	0.0942942	0.0274748	0.0327897	0.1306148	0.0420766	0.0579144	0.071679	0.0993965	0.0309046	0.0171838	0.0409806	0.00517358	0.0309692	0.0587187	0.0485396	0.184566	0.076401	0.0573403	0.0385506	0.0298051
PRR16	0.781534	0.108165	0.124859	1.270088	0.0964305	1.034753	1.300325	0.4333912	0.2122561	0.0813437	0.2208642	0.8879073	0.2157016	0.992086	0.17547	1.060337	0.495021	2.327985	0.352018	0.863519
SYDE1	3.25574	1.87814	0.574124	4.183084	0.242868	3.871071	6.044079	1.09059	1.222874	1.54017	1.378428	0.582164	0.527987	0.9189196	1.17529	1.26196	2.33565	1.50262	1.09383	0.647057
COL4A1	454.876	159.61	80.5317	963.201	74.61359999999999	304.4852	355.451	535.557	144.6165	94.6207	294.8356	173.9012	100.8388	238.6068	206.5635	288.1767	275.2993	167.70499999999998	286.2583	106.1593
COLGALT2	1.483247	0.2902477	0.8515980000000001	2.234869	0.924683	1.079158	0.923045	0.6502709999999999	1.286303	0.4959347	0.5091682	0.6307108	0.3396904	0.5701023	0.6725645	0.4480287	0.610075	1.4357339999999998	0.764519	0.645092
CDH2	38.1437	2.604531	5.699788	35.705851	14.3963	14.964155	13.6189	96.1138	1.29884	1.00306	54.97441	41.19096	52.29628	73.70129	20.14684	30.73432	8.055147999999999	4.236498	19.075167	68.90756
CDH11	49.92741	19.182023	1.249624	191.22678	0.2132249	95.55849	127.0591	43.548080000000006	4.701892	1.47607	16.27892	15.5189	11.996317	12.859798	18.85101	34.156172999999995	5.7352	85.32328000000001	32.099614	2.7800830000000003
SPARC	536.7799500000001	297.31359	84.12071	2563.3419	39.989083	439.18877	491.3595	601.90707	74.686112	40.6700746	139.88747	90.790359	57.11785999999999	149.47952999999998	284.96987	279.55133	121.52239	124.46545	426.19134	65.716665
F2R	16.313605000000003	6.763992	19.158029000000003	23.149	2.046607	6.942614	15.076877	8.95624	2.22821	6.84997	8.18864	5.578528	5.444571000000001	5.64288	6.918508	11.540576	5.683722	3.946716	48.848013	1.89959
EMP3	112.65476	34.83659	54.53454	137.9016	26.105447	182.16281	214.43295	54.56044	41.65123	49.575967	44.917152	23.5929	38.549580000000006	35.14078000000001	43.27716	79.7248	68.8764	141.30542	36.012750000000004	13.633366
RECK	11.0136028	3.9474043	2.644806	27.140872	3.5572820000000003	13.647935	21.378655	5.194035	6.320005999999999	3.5454541	5.687233	1.9400477	3.0504795	5.41707	4.8084698	3.371243	4.92457	14.574241	4.617722	1.6766883
BNC2	39.950739000000006	14.268246	1.3668106	28.272513	2.68498961	65.56392	78.925667	10.997368	5.6526413	1.0831955	5.9245887	5.754068800000001	6.095522	8.893481999999999	2.4522479	3.457328	3.6850469	52.063285	23.3797	1.9768215
SRGN	58.228258	45.612818	10.155411999999998	95.4841	39.88819	53.160415	88.19637	12.95328	34.495342	40.3707113	42.54288	30.685343	45.962651	28.316021	30.914084000000003	119.733288	57.711785	55.928744	20.360178	14.385203
MAP1B	19.5729	4.1180406000000005	3.5578	23.435718	12.418196	23.299525	28.735128000000003	9.279797	3.42805	3.33061	3.84026	4.00834	5.41243	12.5507	8.443226	17.3775	8.41132	10.9219	10.8818257	6.33153
PRKD1	64.3151	4.79938	16.56401	56.255	1.046519	33.571	45.5966	11.49622	9.05747	18.40982	15.55594	17.57827	6.11377	7.037280000000001	6.35915	13.24093	17.02689	24.9529	16.52322	4.77735
FLRT2	6.097001699999999	0.1710086550801003	0.0691042687759008	5.7605844	0.0349931780542914	11.543762480000002	14.31426825	0.917169847886	0.3567041416461769	0.0508245	1.81780869077	0.7713795109904409	1.384150131290204	1.6444435	0.2443006935843739	1.141589843221026	0.7492988322117722	5.731072936120001	1.030722670057018	0.991405648801
C1S	1388.84207	105.76575	32.679973000000004	681.48655	129.2077	1117.28939	1625.34919	203.84741	96.5812	141.489494	558.693831	345.635241	280.62639	188.59288	310.50741800000003	661.0320299999998	243.361544	765.28085	220.20873	88.145114
ZNF788P	2.617577	1.0466	0.358919	2.638068	0.607886	2.285555	2.1909156000000003	1.517086	4.155621	6.10839	1.0571777999999998	1.7170299999999998	2.284364	1.490149	1.159258	2.411677	1.719414	1.616654	1.1787001	2.5432886000000003
TTLL7	1.59933279953	0.21607653	1.39615628	3.556789427	0.5841186564559999	2.13517825	4.5076703	0.9451213	6.812785659999999	0.295338205	0.6545628	0.18580765	0.4423066	0.7904701162200001	0.51215427	0.86454296	1.085833	1.821158159	0.61399121265	0.24022133
FGF2	1.480891	0.249846	0.107727	0.678572	0.0344599	2.070169	2.478302	0.138972	0.193118	0.122041	0.251387	0.078549	0.138833	0.288385	0.1334530112006	0.705437	0.31327	4.64633	0.242187	0.117195
ZFPM2	66.34041	5.2524202	10.260659	56.3633	6.477486	92.86315	109.02245	15.10269	8.376182	1.3560129	9.671853	18.190774	16.478070000000002	7.262928	7.2950556	55.293565	5.445688	86.02218	23.059817	19.544541
CAP2	15.155258	15.912752	11.583698	14.4311	11.8634456	7.6482871	18.996874	13.532045	12.25727	6.681066	7.418455	14.6280834	15.982553	6.793735	9.60953	14.966353	21.778424	3.0785546000000004	11.321383	12.894409
CMTM3	15.618679	5.489812	14.78476	26.240078	5.617721	11.937336900000002	13.190861	12.00224300046594	10.789692	6.4989352	8.231554	7.295497	4.2034921	6.462878	5.277078600194281	9.669354	11.72901700081304	8.5542888	11.536368	4.037693
AKAP12	32.71235	7.448992	25.95485	17.44121	4.924482	53.739650000000005	71.46953	10.76138	9.52177	31.270266851	22.48135	25.70689	13.47002	9.930158	56.17119	16.156866	32.3507	205.7076	38.37932	7.643859999999999
COL6A1	641.163	177.58	35.3952	1109.87	199.506	704.358	898.357	591.94	98.2601	68.1219	210.098	202.717	64.2645	180.29	115.625	169.212	137.953	302.354	434.68	85.1451
CCN2	77.1624	70.4184	35.615	444.03	13.6107	59.914	519.135	94.6212	9.13144	11.9715	37.0982	11.6953	18.4783	10.8419	26.1806	49.237	25.4581	22.4319	109.857	14.8393
LGALS1	261.483	106.501	170.932	744.105	49.3655	322.395	364.179	338.778	95.0708	254.095	89.9993	85.2646	174.498	125.531	191.161	159.942	141.727	259.142	170.277	58.4173
NDN	3.72554	0.895686	0.0526801	2.55088	0.276578	4.75667	5.11095	0.506818	0.102707	0.0320428	1.0449	0.171476	0.218058	0.577344	0.298361	0.251613	0.459531	3.15779	0.671039	0.121651
NID1	60.9895	9.47977	2.79047	68.9899	2.86143	152.954	138.798	19.1506	6.36671	2.50744	11.8171	7.79096	6.95369	12.4612	6.66213	13.2526	12.9659	88.545	14.756	5.36621
PAPPA	2.59748	0.489934	0.206338	4.06469	0.498488	2.09953	2.2712	0.581504	2.25039	0.0577357	0.309151	0.132064	0.206756	0.259691	0.791063	2.138	1.17105	4.22843	0.323992	0.0955617
HTRA1	847.826	57.472	15.4748	455.286	35.3006	572.884	1049.32	95.1941	45.8372	21.4599	89.2471	82.8845	50.7568	203.41	58.88	94.3187	164.601	239.822	242.587	34.2254
PTX3	1.82851	9.2643	3.96606	1.46334	18.6273	1.29918	1.73884	26.3081	2.39254	11.3394	33.8358	8.63929	4.57031	3.18218	3.61048	7.94759	3.12244	1.22064	1.06538	4.39459
CCL2	80.8468	32.6665	9.67968	55.8449	24.8261	8.90403	128.013	53.0162	34.5216	68.1454	130.916	23.5253	86.876	9.54968	43.3967	43.0391	60.2844	37.9163	18.355	7.52514
TUB	3.35147	4.05913	1.83491	4.220773	2.7679762	6.747426000000001	4.774552999999999	1.57847	2.8645	1.89203	3.398539	1.33695	0.710398	1.791274	0.503126	1.58167	2.67033	3.824151	1.276484	2.19772
VIM	3208.71	557.972	366.639	2882.14	189.352	5231.39	6386.48	1467.08	296.66	340.393	815.799	429.164	332.278	1165.18	747.215	1135.82	754.229	4651.05	794.47	183.841
ADAM23	6.04021	0.319022	0.0990362	2.75987	0.0434307	5.20344	2.60906	0.484044	0.335802	0.22471	2.7917	1.58539	1.20991	4.03896	0.198705	2.15444	1.53717	2.30436	2.025	0.532818
GNG11	2.40328	0.41193	0.171318	2.37698	0.131335	4.56795	6.17245	0.485159	0.713749	0.128031	0.470718	0.35845	0.459075	0.484297	0.554504	0.44134	0.419259	5.85229	0.829344	0.263524
UCHL1	69.2079	260.442	4.04534	69.2244	26.9871	66.4336	21.749	21.6689	3.0166	191.948	16.087	8.11669	139.9	86.5412	49.6767	7.63007	31.2973	60.8592	26.3529	31.4722
COL12A1	77.50611	151.75781	27.891378	738.8921	3.4405393	188.83329	272.33205	437.83254	23.3544879	11.6426451	21.471262	14.969554	104.438826	47.949106	90.99887	44.066973	71.140627	142.35343	89.40602	17.093867
NAP1L3	3.13959	0.427693	0.971976	4.18557	0.064658	4.92608	3.87404	0.937793	0.345346	0.519582	0.77682	0.552093	0.80933	1.30389	0.505518	0.684028	0.682885	4.30301	1.5629	0.283937
GFPT2	23.9179	3.39543	1.01188	28.2374	0.634582	18.5106	24.8269	9.74009	3.72446	4.1836	16.7243	3.16577	3.22709	16.6663	5.41135	8.71292	17.9682	113.346	9.87805	2.34291
HAS2	0.620166	1.34965	0.187759	6.34443	0.125021	0.22038	0.841384	4.84875	0.193046	0.0277004	0.879381	0.429209	0.756913	7.85614	2.1178	0.66728	0.351056	3.02613	1.23977	0.0518936
GPC6	8.13506	3.64325	1.01442	11.437	0.789651	8.81038	19.8365	2.6793	1.87917	0.105811	2.04013	0.604268	0.659516	4.48925	0.943625	2.67243	2.44946	5.07222	1.56454	0.52986
LHFPL6	31.8381	1.4948	0.839022	11.2016	0.227809	19.8256	41.8294	2.48056	0.946515	0.383739	3.23169	1.7216	1.30938	2.26892	1.15295	2.61598	1.82116	7.29765	3.34933	0.693807
HS3ST3A1	1.39161	2.04163	0.0610576	2.49127	0.0128764	3.80442	1.70091	0.954394	0.563361	0.780701	0.21247	0.261624	1.43899	0.872807	0.531312	0.353374	0.756905	4.39778	0.718427	0.319111
